data,tmedia,tmin,tmax
2022-01-01,1,-1,9
2022-01-02,4,-1,11
2022-01-03,4,1,6
2022-01-04,7,6,7
2022-01-05,7,6,8
2022-01-06,4,0,7
2022-01-07,2,-3,6
2022-01-08,-1,-3,5
2022-01-09,0,-2,4
2022-01-10,-2,-4,2
2022-01-11,0,-5,9
2022-01-12,1,-4,7
2022-01-13,1,-6,8
2022-01-14,2,-3,10
2022-01-15,3,-2,11
2022-01-16,4,-3,11
2022-01-17,6,-1,12
2022-01-18,4,-1,11
2022-01-19,4,-1,8
2022-01-20,4,1,8
2022-01-21,1,-2,4
2022-01-22,2,-1,7
2022-01-23,2,-3,6
2022-01-24,-1,-4,2
2022-01-25,2,1,4
2022-01-26,2,1,4
2022-01-27,1,0,2
2022-01-28,5,-1,16
2022-01-29,4,-3,11
2022-01-30,9,3,16
2022-01-31,6,0,13
2022-02-01,11,7,16
2022-02-02,12,3,19
2022-02-03,8,1,12
2022-02-04,8,5,11
2022-02-05,4,0,8
2022-02-06,4,-1,8
2022-02-07,9,2,14
2022-02-08,5,-2,14
2022-02-09,7,0,15
2022-02-10,8,5,11
2022-02-11,10,8,14
2022-02-12,6,1,11
2022-02-13,3,-1,10
2022-02-14,4,0,6
2022-02-15,3,1,5
2022-02-16,4,-2,9
2022-02-17,8,0,17
2022-02-18,7,2,10
2022-02-19,9,7,13
2022-02-20,10,6,16
2022-02-21,11,4,17
2022-02-22,12,6,19
2022-02-23,9,2,15
2022-02-24,8,2,14
2022-02-25,9,1,17
2022-02-26,8,0,14
2022-02-27,6,-1,12
2022-02-28,5,-2,13
2022-03-01,6,2,11
2022-03-02,6,-2,12
2022-03-03,9,2,14
2022-03-04,8,3,12
2022-03-05,6,2,9
2022-03-06,5,1,9
2022-03-07,5,-1,10
2022-03-08,5,0,8
2022-03-09,5,-3,13
2022-03-10,7,-1,15
2022-03-11,8,4,11
2022-03-12,7,4,10
2022-03-13,6,0,11
2022-03-14,9,6,14
2022-03-15,11,7,13
2022-03-16,12,10,16
2022-03-17,11,9,13
2022-03-18,11,7,15
2022-03-19,9,4,14
2022-03-20,9,1,14
2022-03-21,9,3,14
2022-03-22,8,0,15
2022-03-23,10,0,19
2022-03-24,11,2,21
2022-03-25,12,3,21
2022-03-26,14,3,21
2022-03-27,13,5,21
2022-03-28,13,4,22
2022-03-29,12,8,18
2022-03-30,11,10,13
2022-03-31,12,9,15
2022-04-01,11,7,15
2022-04-02,8,6,10
2022-04-03,7,3,11
2022-04-04,9,6,13
2022-04-05,10,2,18
2022-04-06,11,4,17
2022-04-07,14,8,22
2022-04-08,16,7,22
2022-04-09,14,8,19
2022-04-10,10,3,18
2022-04-11,12,4,19
2022-04-12,13,5,19
2022-04-13,15,9,20
2022-04-14,16,7,24
2022-04-15,17,10,25
2022-04-16,17,9,24
2022-04-17,13,9,18
2022-04-18,14,9,19
2022-04-19,15,6,22
2022-04-20,14,10,17
2022-04-21,13,10,17
2022-04-22,12,9,16
2022-04-23,14,11,17
2022-04-24,13,10,17
2022-04-25,15,9,20
2022-04-26,14,11,18
2022-04-27,16,8,22
2022-04-28,17,12,22
2022-04-29,18,14,22
2022-04-30,17,12,22
2022-05-01,17,13,21
2022-05-02,17,11,22
2022-05-03,18,13,22
2022-05-04,17,14,22
2022-05-05,15,13,18
2022-05-06,14,12,14
2022-05-07,16,12,20
2022-05-08,18,14,21
2022-05-09,19,13,24
2022-05-10,21,14,27
2022-05-11,23,14,28
2022-05-12,22,17,28
2022-05-13,22,17,28
2022-05-14,23,18,28
2022-05-15,24,18,29
2022-05-16,24,19,30
2022-05-17,24,16,32
2022-05-18,24,17,29
2022-05-19,24,20,28
2022-05-20,24,16,31
2022-05-21,26,19,32
2022-05-22,24,18,29
2022-05-23,24,20,28
2022-05-24,22,17,28
2022-05-25,22,18,26
2022-05-26,24,16,29
2022-05-27,25,19,32
2022-05-28,24,18,31
2022-05-29,17,14,21
2022-05-30,18,13,21
2022-05-31,20,17,25
2022-06-01,23,16,28
2022-06-02,25,18,30
2022-06-03,23,20,26
2022-06-04,24,16,31
2022-06-05,25,19,30
2022-06-06,24,16,31
2022-06-07,24,20,28
2022-06-08,22,15,28
2022-06-09,23,16,29
2022-06-10,25,17,31
2022-06-11,24,15,31
2022-06-12,26,18,33
2022-06-13,28,21,34
2022-06-14,27,21,31
2022-06-15,27,22,32
2022-06-16,28,20,34
2022-06-17,29,22,34
2022-06-18,28,24,33
2022-06-19,29,23,33
2022-06-20,28,21,34
2022-06-21,28,24,33
2022-06-22,25,22,29
2022-06-23,25,19,29
2022-06-24,25,19,31
2022-06-25,24,17,31
2022-06-26,26,19,32
2022-06-27,28,20,34
2022-06-28,26,21,30
2022-06-29,26,20,32
2022-06-30,27,21,31
2022-07-01,28,22,32
2022-07-02,28,20,34
2022-07-03,29,21,36
2022-07-04,28,22,34
2022-07-05,28,20,34
2022-07-06,28,23,32
2022-07-07,28,22,33
2022-07-08,26,19,32
2022-07-09,26,20,30
2022-07-10,27,19,32
2022-07-11,27,22,31
2022-07-12,27,22,31
2022-07-13,27,22,32
2022-07-14,28,21,34
2022-07-15,29,24,36
2022-07-16,29,24,34
2022-07-17,29,25,34
2022-07-18,29,25,34
2022-07-19,30,22,34
2022-07-20,30,23,35
2022-07-21,31,26,36
2022-07-22,30,22,36
2022-07-23,30,23,34
2022-07-24,30,25,35
