data,localita,tmedia,tmin,tmax
2023-01-01,Milano,8.0,8.0,9.0
2023-01-02,Milano,9.0,8.0,10.0
2023-01-03,Milano,10.0,9.0,10.0
2023-01-04,Milano,10.0,6.0,11.0
2023-01-05,Milano,9.0,5.0,14.0
2023-01-06,Milano,8.0,8.0,9.0
2023-01-07,Milano,8.0,8.0,8.0
2023-01-08,Milano,7.0,7.0,8.0
2023-01-09,Milano,8.0,7.0,11.0
2023-01-10,Milano,10.0,4.0,15.0
2023-01-11,Milano,5.0,0.0,9.0
2023-01-12,Milano,5.0,0.0,11.0
2023-01-13,Milano,5.0,1.0,9.0
2023-01-14,Milano,4.0,-2.0,10.0
2023-01-15,Milano,6.0,6.0,7.0
2023-01-16,Milano,4.0,2.0,6.0
2023-01-17,Milano,3.0,2.0,5.0
2023-01-18,Milano,3.0,1.0,4.0
2023-01-19,Milano,3.0,2.0,4.0
2023-01-20,Milano,2.0,0.0,6.0
2023-01-21,Milano,2.0,-4.0,7.0
2023-01-22,Milano,3.0,0.0,7.0
2023-01-23,Milano,3.0,0.0,5.0
2023-01-24,Milano,7.0,4.0,11.0
2023-01-25,Milano,6.0,2.0,9.0
2023-01-26,Milano,4.0,1.0,7.0
2023-01-27,Milano,4.0,1.0,5.0
2023-01-28,Milano,2.0,-1.0,9.0
2023-01-29,Milano,3.0,-2.0,8.0
2023-01-30,Milano,4.0,-3.0,10.0
2023-01-31,Milano,4.0,-2.0,10.0
2023-02-01,Milano,7.0,0.0,14.0
2023-02-02,Milano,10.0,3.0,16.0
2023-02-03,Milano,8.0,0.0,15.0
2023-02-04,Milano,12.0,6.0,21.0
2023-02-05,Milano,6.0,3.0,10.0
2023-02-06,Milano,5.0,3.0,6.0
2023-02-07,Milano,3.0,-2.0,7.0
2023-02-08,Milano,2.0,-5.0,6.0
2023-02-09,Milano,2.0,-1.0,6.0
2023-02-10,Milano,1.0,-5.0,8.0
2023-02-11,Milano,2.0,-4.0,10.0
2023-02-12,Milano,6.0,-2.0,14.0
2023-02-13,Milano,6.0,-2.0,13.0
2023-02-14,Milano,6.0,-1.0,15.0
2023-02-15,Milano,7.0,-1.0,17.0
2023-02-16,Milano,8.0,0.0,16.0
2023-02-17,Milano,9.0,1.0,16.0
2023-02-18,Milano,10.0,3.0,16.0
2023-02-19,Milano,9.0,2.0,16.0
2023-02-20,Milano,8.0,4.0,13.0
2023-02-21,Milano,8.0,1.0,15.0
2023-02-22,Milano,10.0,9.0,13.0
2023-02-23,Milano,11.0,9.0,15.0
2023-02-24,Milano,11.0,8.0,14.0
2023-02-25,Milano,11.0,7.0,16.0
2023-02-26,Milano,5.0,3.0,7.0
2023-02-27,Milano,4.0,2.0,6.0
2023-02-28,Milano,5.0,3.0,9.0
2023-03-01,Milano,5.0,0.0,9.0
2023-03-02,Milano,7.0,4.0,11.0
2023-03-03,Milano,9.0,2.0,14.0
2023-03-04,Milano,9.0,3.0,15.0
2023-03-05,Milano,9.0,1.0,16.0
2023-03-06,Milano,10.0,5.0,14.0
2023-03-07,Milano,10.0,6.0,14.0
2023-03-08,Milano,10.0,3.0,15.0
2023-03-09,Milano,13.0,10.0,18.0
2023-03-10,Milano,10.0,9.0,13.0
2023-03-11,Milano,17.0,9.0,22.0
2023-03-12,Milano,12.0,8.0,16.0
2023-03-13,Milano,11.0,7.0,16.0
2023-03-14,Milano,12.0,9.0,15.0
2023-03-15,Milano,12.0,6.0,16.0
2023-03-16,Milano,10.0,2.0,15.0
2023-03-17,Milano,9.0,2.0,14.0
2023-03-18,Milano,10.0,3.0,17.0
2023-03-19,Milano,11.0,5.0,16.0
2023-03-20,Milano,11.0,6.0,16.0
2023-03-21,Milano,13.0,4.0,20.0
2023-03-22,Milano,14.0,7.0,21.0
2023-03-23,Milano,15.0,10.0,21.0
2023-03-24,Milano,15.0,13.0,19.0
2023-03-25,Milano,16.0,10.0,22.0
2023-03-26,Milano,11.0,6.0,15.0
2023-03-27,Milano,13.0,7.0,18.0
2023-03-28,Milano,12.0,5.0,17.0
2023-03-29,Milano,12.0,5.0,18.0
2023-03-30,Milano,14.0,12.0,18.0
2023-03-31,Milano,13.0,10.0,15.0
2023-04-01,Milano,14.0,5.0,21.0
2023-04-02,Milano,14.0,8.0,19.0
2023-04-03,Milano,12.0,5.0,18.0
2023-04-04,Milano,9.0,6.0,13.0
