data,localita,tmedia,tmin,tmax
2023-01-01,Palermo,13.2,9.5,17.2
2023-01-02,Palermo,12.8,9.7,17.0
2023-01-03,Palermo,13.0,9.1,17.2
2023-01-04,Palermo,12.7,9.9,16.6
2023-01-05,Palermo,12.5,9.9,16.0
2023-01-06,Palermo,12.8,10.4,16.0
2023-01-07,Palermo,12.7,10.0,16.0
2023-01-08,Palermo,13.5,10.8,16.7
2023-01-09,Palermo,15.8,13.3,17.7
2023-01-10,Palermo,13.3,12.1,14.6
2023-01-11,Palermo,13.5,10.9,15.9
2023-01-12,Palermo,13.5,11.0,16.1
2023-01-13,Palermo,12.6,10.1,14.9
2023-01-14,Palermo,14.3,12.1,16.5
2023-01-15,Palermo,13.7,11.7,16.7
2023-01-16,Palermo,15.5,13.4,17.3
2023-01-17,Palermo,17.1,15.5,19.6
2023-01-18,Palermo,15.3,11.7,18.7
2023-01-19,Palermo,10.4,8.4,11.8
2023-01-20,Palermo,10.6,8.6,13.3
2023-01-21,Palermo,9.4,8.0,12.0
2023-01-22,Palermo,8.1,6.7,10.7
2023-01-23,Palermo,9.0,6.2,12.0
2023-01-24,Palermo,9.6,5.0,12.9
2023-01-25,Palermo,9.4,6.9,11.7
2023-01-26,Palermo,8.9,6.1,11.7
2023-01-27,Palermo,9.5,7.9,11.3
2023-01-28,Palermo,9.1,7.2,11.6
2023-01-29,Palermo,9.3,6.9,12.6
2023-01-30,Palermo,11.1,9.0,12.7
2023-01-31,Palermo,11.6,8.7,13.8
2023-02-01,Palermo,10.6,9.0,13.4
2023-02-02,Palermo,11.0,7.9,14.1
2023-02-03,Palermo,11.1,7.8,14.9
2023-02-04,Palermo,11.9,7.6,15.6
2023-02-05,Palermo,10.1,8.2,12.0
2023-02-06,Palermo,8.0,6.7,10.1
2023-02-07,Palermo,7.8,6.9,9.4
2023-02-08,Palermo,8.2,7.7,8.6
2023-02-09,Palermo,8.1,7.7,8.6
2023-02-10,Palermo,9.7,7.8,11.0
2023-02-11,Palermo,10.1,8.1,12.7
2023-02-12,Palermo,10.1,6.4,12.7
2023-02-13,Palermo,10.0,8.0,12.5
