data,tmedia,tmin,tmax
2024-01-01,14.9,11.4,17.8
2024-01-02,13.7,10.3,16.9
2024-01-03,15.0,10.1,18.7
2024-01-04,15.7,12.2,19.6
2024-01-05,16.1,12.3,19.0
2024-01-06,14.8,12.8,17.1
2024-01-07,12.6,11.3,14.0
2024-01-08,11.1,9.9,11.8
2024-01-09,12.0,9.9,14.6
2024-01-10,11.4,8.7,14.0
2024-01-11,11.8,9.7,13.9
2024-01-12,11.2,9.2,13.4
2024-01-13,11.2,8.8,13.4
2024-01-14,11.9,8.3,15.4
2024-01-15,16.0,12.8,18.7
2024-01-16,15.7,13.4,19.0
2024-01-17,18.3,14.1,20.5
2024-01-18,18.9,15.4,22.2
2024-01-19,17.7,15.4,20.1
2024-01-20,14.8,10.3,17.1
2024-01-21,10.2,8.8,11.6
2024-01-22,10.2,7.7,13.3
2024-01-23,12.0,7.3,15.3
2024-01-24,12.8,9.6,15.7
2024-01-25,13.5,9.3,17.9
2024-01-26,12.2,9.4,16.5
2024-01-27,12.3,9.9,14.6
2024-01-28,12.0,9.8,15.8
2024-01-29,10.8,7.1,14.2
2024-01-30,10.0,6.5,13.8
2024-01-31,9.8,6.2,13.6
2024-02-01,10.3,6.6,13.4
2024-02-02,11.7,8.6,14.5
2024-02-03,12.2,8.9,15.8
2024-02-04,13.1,8.7,18.4
2024-02-05,12.7,8.4,17.7
2024-02-06,13.4,9.0,19.1
2024-02-07,14.3,9.0,19.7
2024-02-08,13.9,10.5,18.1
2024-02-09,17.4,11.4,21.3
2024-02-10,17.2,14.1,19.3
2024-02-11,13.7,12.7,15.1
2024-02-12,13.3,11.2,16.3
2024-02-13,13.2,10.0,16.2
2024-02-14,13.8,11.4,16.2
2024-02-15,13.1,9.9,17.0
2024-02-16,13.4,8.7,17.9
2024-02-17,13.5,10.4,17.8
2024-02-18,13.2,9.2,17.4
2024-02-19,13.9,9.8,17.4
2024-02-20,12.8,11.3,14.5
2024-02-21,13.2,10.0,16.9
2024-02-22,12.2,8.6,16.5
2024-02-23,15.2,10.6,17.8
2024-02-24,13.3,11.8,15.5
2024-02-25,12.4,10.6,14.4
2024-02-26,13.3,9.1,17.3
2024-02-27,15.6,11.4,19.8
2024-02-28,12.6,8.5,15.2
2024-02-29,11.9,8.4,16.6
2024-03-01,12.2,7.5,15.6
2024-03-02,14.0,10.5,17.1
2024-03-03,15.0,9.5,20.4
2024-03-04,12.3,9.3,15.0
2024-03-05,13.3,10.8,16.1
2024-03-06,13.1,10.5,16.7
2024-03-07,13.2,10.1,16.9
2024-03-08,14.7,9.3,19.3
2024-03-09,16.6,13.6,18.9
2024-03-10,18.1,13.8,22.2
2024-03-11,14.5,11.3,17.6
2024-03-12,13.4,11.6,15.7
2024-03-13,13.4,10.3,16.6
2024-03-14,13.1,9.0,16.9
2024-03-15,13.4,9.3,17.4
2024-03-16,14.5,10.5,18.4
2024-03-17,14.3,11.6,17.4
2024-03-18,14.8,10.6,19.2
2024-03-19,16.1,12.4,20.0
2024-03-20,15.0,11.8,18.6
2024-03-21,14.0,9.2,18.1
2024-03-22,14.0,10.9,16.9
2024-03-23,14.5,9.9,18.4
2024-03-24,18.0,12.4,22.8
2024-03-25,17.0,14.3,19.3
2024-03-26,18.4,15.2,20.9
2024-03-27,15.9,14.1,18.5
2024-03-28,17.4,12.8,22.8
2024-03-29,20.0,13.6,25.6
2024-03-30,21.7,17.0,26.5
2024-03-31,23.3,18.8,29.3
2024-04-01,22.9,15.2,29.5
2024-04-02,15.8,12.8,18.7
2024-04-03,15.4,11.2,19.5
2024-04-04,15.4,9.5,20.1
2024-04-05,16.3,11.3,20.5
2024-04-06,17.0,12.0,21.6
2024-04-07,17.9,13.4,22.3
2024-04-08,18.6,12.1,23.1
2024-04-09,20.0,15.5,23.8
2024-04-10,16.4,12.3,18.6
2024-04-11,14.5,10.9,17.6
2024-04-12,16.6,11.8,19.8
2024-04-13,18.9,14.4,22.8
2024-04-14,19.9,15.4,23.4
2024-04-15,20.7,16.7,22.7
2024-04-16,18.6,16.0,21.1
2024-04-17,16.7,15.1,18.1
2024-04-18,16.2,14.3,18.3
2024-04-19,14.1,12.6,15.1
2024-04-20,16.1,11.3,20.0
2024-04-21,15.2,12.7,17.2
2024-04-22,15.2,12.0,19.0
2024-04-23,14.4,11.8,17.0
2024-04-24,13.5,11.9,15.6
2024-04-25,14.4,10.9,17.6
2024-04-26,15.5,10.0,19.4
2024-04-27,17.0,11.6,20.9
2024-04-28,18.5,12.6,22.3
2024-04-29,20.4,15.2,24.0
2024-04-30,20.0,16.3,22.6
2024-05-01,19.2,15.4,21.7
2024-05-02,17.7,14.3,20.7
2024-05-03,17.2,13.9,20.2
2024-05-04,17.3,14.2,20.0
2024-05-05,17.3,12.9,21.1
2024-05-06,18.8,13.3,22.8
2024-05-07,19.8,16.2,22.8
2024-05-08,15.9,13.6,18.8
2024-05-09,14.9,12.2,16.7
2024-05-10,18.7,15.0,22.2
2024-05-11,18.6,15.2,21.7
2024-05-12,19.1,14.6,22.1
2024-05-13,20.1,16.0,22.9
2024-05-14,21.0,17.4,23.6
2024-05-15,22.1,19.3,24.5
2024-05-16,23.0,19.6,26.4
2024-05-17,21.8,18.5,24.3
2024-05-18,22.7,20.3,26.1
2024-05-19,23.8,20.5,27.6
2024-05-20,23.7,20.0,27.2
2024-05-21,21.5,17.4,23.7
2024-05-22,21.3,17.3,24.8
2024-05-23,21.0,17.6,23.7
2024-05-24,21.1,17.1,24.2
2024-05-25,20.6,18.0,22.9
2024-05-26,20.6,17.1,23.8
2024-05-27,20.8,16.0,24.5
2024-05-28,21.7,17.4,24.8
2024-05-29,21.9,18.0,24.8
2024-05-30,22.4,18.5,25.5
2024-05-31,24.7,19.1,29.1
2024-06-01,23.8,21.1,26.4
2024-06-02,23.8,20.3,27.1
2024-06-03,22.6,19.4,25.8
2024-06-04,22.5,18.5,25.0
2024-06-05,22.3,19.5,24.9
2024-06-06,22.5,18.7,26.0
2024-06-07,23.1,17.3,27.0
2024-06-08,24.6,18.8,28.3
2024-06-09,26.5,21.9,30.7
2024-06-10,25.7,21.6,29.4
2024-06-11,24.5,20.4,27.6
2024-06-12,24.2,21.1,26.6
2024-06-13,24.2,21.1,27.1
2024-06-14,23.0,19.6,26.2
2024-06-15,23.6,18.0,27.2
2024-06-16,25.3,21.4,28.4
2024-06-17,25.1,21.1,28.5
2024-06-18,26.5,21.0,30.0
2024-06-19,28.3,24.4,32.9
2024-06-20,28.7,23.3,32.8
2024-06-21,29.0,24.0,32.8
2024-06-22,25.0,22.2,27.4
2024-06-23,25.1,21.3,27.8
2024-06-24,24.9,21.7,27.8
2024-06-25,24.4,22.1,26.3
2024-06-26,24.1,21.1,26.2
2024-06-27,24.2,20.2,27.3
2024-06-28,25.7,21.1,29.1
2024-06-29,27.7,22.7,31.3
2024-06-30,27.6,23.0,31.8
2024-07-01,28.7,23.7,32.4
2024-07-02,26.8,24.0,29.2
2024-07-03,25.0,22.7,27.3
2024-07-04,25.0,22.8,27.2
2024-07-05,25.4,22.3,27.9
2024-07-06,26.7,22.3,29.8
2024-07-07,26.8,23.2,29.7
2024-07-08,27.3,23.5,30.2
2024-07-09,27.5,23.8,30.5
2024-07-10,27.7,22.9,31.1
2024-07-11,28.4,24.1,31.8
2024-07-12,29.1,24.9,32.2
2024-07-13,28.6,24.8,32.2
2024-07-14,29.2,24.7,32.5
2024-07-15,28.8,24.3,32.5
2024-07-16,28.9,24.0,32.4
2024-07-17,28.7,23.4,32.6
2024-07-18,29.2,25.2,32.8
2024-07-19,28.8,24.3,32.4
2024-07-20,28.8,23.9,32.4
2024-07-21,30.6,25.6,34.5
2024-07-22,29.3,25.1,33.2
2024-07-23,27.7,23.4,30.7
2024-07-24,28.9,25.0,32.4
2024-07-25,28.4,24.9,31.5
2024-07-26,28.2,24.3,31.1
2024-07-27,28.5,24.4,31.4
2024-07-28,29.0,25.3,32.1
2024-07-29,29.2,25.4,32.5
2024-07-30,29.4,24.5,32.8
