data,tmedia,tmin,tmax
2021-01-01,9.0,4.0,12.0
2021-01-02,10.0,8.0,13.0
2021-01-03,7.0,5.0,9.0
2021-01-04,7.0,4.0,11.0
2021-01-05,8.0,6.0,10.0
2021-01-06,8.0,4.0,11.0
2021-01-07,5.0,2.0,8.0
2021-01-08,6.0,3.0,8.0
2021-01-09,6.0,4.0,9.0
2021-01-10,7.0,4.0,10.0
2021-01-11,5.0,2.0,7.0
2021-01-12,5.0,1.0,11.0
2021-01-13,5.0,0.0,12.0
2021-01-14,9.4,5.4,14.2
2021-01-15,8.0,3.0,11.0
2021-01-16,4.0,1.0,10.0
2021-01-17,2.0,-2.0,7.0
2021-01-18,5.0,-1.0,12.0
2021-01-19,6.0,-1.0,12.0
2021-01-20,10.0,6.0,12.0
2021-01-21,13.0,12.0,15.0
2021-01-22,13.0,9.0,14.0
2021-01-23,11.0,8.0,13.0
2021-01-24,10.0,4.0,13.0
2021-01-25,9.0,3.0,13.0
2021-01-26,6.0,2.0,11.0
2021-01-27,4.0,-2.0,11.0
2021-01-28,6.0,-1.0,12.0
2021-01-29,11.0,6.0,14.0
2021-01-30,12.0,6.0,15.0
2021-01-31,12.0,9.0,14.0
2021-02-01,10.0,6.0,15.0
2021-02-02,11.0,8.0,16.0
2021-02-03,12.0,8.0,15.0
2021-02-04,13.0,8.0,17.0
2021-02-05,13.0,6.0,19.0
2021-02-06,15.0,8.0,21.0
2021-02-07,15.0,12.0,21.0
2021-02-08,11.0,9.0,14.0
2021-02-09,13.0,11.0,14.0
2021-02-10,13.0,10.0,15.0
2021-02-11,10.0,6.0,16.0
2021-02-12,10.0,5.0,15.0
2021-02-13,6.0,0.0,10.0
2021-02-14,2.0,0.0,7.0
2021-02-15,4.0,-2.0,9.0
2021-02-16,5.0,-2.0,10.0
2021-02-17,9.0,6.0,12.0
2021-02-18,10.0,4.0,15.0
2021-02-19,9.0,4.0,14.0
2021-02-20,12.0,9.0,16.0
2021-02-21,10.0,4.0,17.0
2021-02-22,11.0,5.0,17.0
2021-02-23,11.0,7.0,18.0
2021-02-24,12.0,6.0,19.0
2021-02-25,12.0,6.0,19.0
2021-02-26,11.0,6.0,17.0
2021-02-27,10.0,8.0,14.0
2021-02-28,11.0,5.0,18.0
2021-03-01,10.0,5.0,16.0
